issue_key,dominant_topic,dominant_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob,topic_7_prob,topic_8_prob,topic_9_prob,existence,property,executive,issue_type,status
TIKA-1610,1,0.9997,0.0,0.9997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,New Feature,Resolved
TIKA-1609,0,0.5003,0.5003,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.4983,0.0002,True,False,True,New Feature,Open
TIKA-1607,0,0.9993,0.9993,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,True,False,False,Sub-task,Open
TIKA-1582,7,0.8911,0.0,0.0,0.0,0.0,0.1087,0.0,0.0,0.8911,0.0,0.0,True,True,True,Improvement,Resolved
TIKA-1580,6,0.9994,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9994,1e-04,1e-04,1e-04,True,False,True,New Feature,Resolved
TIKA-1541,1,0.9993,1e-04,0.9993,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,True,False,True,Improvement,Resolved
TIKA-1540,9,0.698,0.0005,0.0005,0.298,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.698,True,False,True,New Feature,Open
TIKA-1517,6,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.0,True,True,False,Improvement,Resolved
TIKA-1466,1,0.9979,0.0002,0.9979,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,False,Improvement,Open
TIKA-1425,4,0.9997,0.0,0.0,0.0,0.0,0.9997,0.0,0.0,0.0,0.0,0.0,True,False,False,Improvement,Open
TIKA-1424,7,0.7733,0.0005,0.0005,0.0005,0.0005,0.0005,0.2231,0.0005,0.7733,0.0005,0.0005,False,True,False,Improvement,Resolved
TIKA-1420,8,0.999,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.999,1e-04,True,False,False,Improvement,Resolved
TIKA-1336,4,0.8664,0.0003,0.0003,0.0003,0.0003,0.8664,0.0003,0.0003,0.0003,0.1312,0.0003,True,False,False,Improvement,Resolved
TIKA-1406,9,0.998,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.998,False,True,False,Bug,Open
TIKA-1385,4,0.5178,0.0002,0.0002,0.0002,0.0002,0.5178,0.0002,0.0002,0.0002,0.4804,0.0002,True,True,False,Bug,Resolved
TIKA-1368,8,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9986,0.0002,True,True,False,Improvement,Open
TIKA-1330,8,0.9968,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9968,0.0004,True,True,False,Sub-task,Resolved
TIKA-1296,1,0.9987,1e-04,0.9987,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,True,False,False,Improvement,Open
TIKA-1294,2,0.9986,0.0002,0.0002,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,False,Improvement,Closed
TIKA-1265,1,0.9959,0.0005,0.9959,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,True,False,False,Improvement,Resolved
TIKA-1247,8,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9986,0.0002,True,False,False,Improvement,Closed
TIKA-1220,5,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,0.9986,0.0002,0.0002,0.0002,0.0002,True,False,True,New Feature,Open
TIKA-1208,8,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9986,0.0002,True,True,True,Sub-task,Open
TIKA-1207,5,0.994,0.0007,0.0007,0.0007,0.0007,0.0007,0.994,0.0007,0.0007,0.0007,0.0007,True,False,False,Task,Open
TIKA-1149,8,0.9172,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9172,0.0819,False,True,False,Improvement,Open
TIKA-1144,2,0.9988,1e-04,1e-04,0.9988,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,True,False,False,Improvement,Open
TIKA-1140,9,0.9987,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9987,True,False,False,Improvement,Open
TIKA-1075,9,0.9982,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9982,True,False,False,New Feature,Resolved
TIKA-43,8,0.9947,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.9947,0.0006,True,False,False,Improvement,Closed
TIKA-944,7,0.9981,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9981,0.0002,0.0002,True,False,True,New Feature,Open
TIKA-942,6,0.999,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.999,1e-04,1e-04,1e-04,True,False,False,New Feature,Closed
TIKA-781,4,0.9973,0.0003,0.0003,0.0003,0.0003,0.9973,0.0003,0.0003,0.0003,0.0003,0.0003,False,True,False,Bug,Resolved
TIKA-932,6,0.4111,0.0003,0.0003,0.0003,0.0003,0.0003,0.3241,0.4111,0.2628,0.0003,0.0003,False,True,True,Improvement,Resolved
TIKA-930,6,0.9995,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9995,1e-04,1e-04,1e-04,True,False,False,Improvement,Resolved
TIKA-929,0,0.9978,0.9978,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,False,Improvement,Resolved
TIKA-928,6,0.5059,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.5059,0.0002,0.4927,0.0002,True,False,False,Improvement,Open
TIKA-927,0,0.9984,0.9984,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,False,Improvement,Resolved
TIKA-917,5,0.9963,0.0004,0.0004,0.0004,0.0004,0.0004,0.9963,0.0004,0.0004,0.0004,0.0004,True,False,False,New Feature,Open
TIKA-904,1,0.4922,0.0003,0.4922,0.2464,0.0003,0.0003,0.2592,0.0003,0.0003,0.0003,0.0003,True,False,False,Improvement,Resolved
TIKA-884,8,0.6676,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.331,0.0002,0.6676,0.0002,True,True,False,Improvement,Resolved
TIKA-850,5,0.9976,0.0003,0.0003,0.0003,0.0003,0.0003,0.9976,0.0003,0.0003,0.0003,0.0003,True,False,False,Improvement,Resolved
TIKA-815,8,0.9982,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9982,0.0002,False,True,False,Test,Resolved
TIKA-814,1,0.8838,0.1152,0.8838,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,False,True,False,Improvement,Closed
TIKA-785,8,0.9978,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9978,0.0002,True,False,False,New Feature,Resolved
TIKA-775,4,0.5557,0.0002,0.0002,0.0002,0.0002,0.5557,0.0002,0.0002,0.0002,0.4429,0.0002,True,False,False,Improvement,Resolved
TIKA-774,8,0.805,1e-04,1e-04,1e-04,0.1315,1e-04,1e-04,0.0629,1e-04,0.805,1e-04,True,False,False,New Feature,Open
TIKA-773,7,0.7593,0.0003,0.0003,0.0003,0.0003,0.1098,0.0003,0.0003,0.7593,0.1289,0.0003,True,False,True,New Feature,Open
TIKA-759,0,0.5246,0.5246,0.0002,0.1137,0.1538,0.1411,0.0002,0.066,0.0002,0.0002,0.0002,False,True,True,Improvement,Open
TIKA-746,6,0.9988,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9988,1e-04,1e-04,1e-04,True,False,False,Improvement,Resolved
TIKA-710,8,0.9967,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9967,0.0004,True,False,False,Improvement,Closed
TIKA-669,8,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9986,0.0002,True,True,False,New Feature,Closed
TIKA-662,5,0.9989,1e-04,1e-04,1e-04,1e-04,1e-04,0.9989,1e-04,1e-04,1e-04,1e-04,False,True,False,Improvement,Closed
TIKA-625,3,0.9554,0.0002,0.0002,0.0002,0.9554,0.0002,0.0002,0.0002,0.0002,0.0428,0.0002,False,True,True,Improvement,Closed
TIKA-605,8,0.9964,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9964,0.0004,True,False,True,New Feature,Resolved
TIKA-591,5,0.9985,0.0002,0.0002,0.0002,0.0002,0.0002,0.9985,0.0002,0.0002,0.0002,0.0002,False,True,False,Improvement,Open
TIKA-590,6,0.9979,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9979,0.0002,0.0002,0.0002,True,False,False,Wish,Closed
TIKA-569,8,0.9966,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9966,0.0004,False,True,False,Improvement,Closed
TIKA-550,7,0.6762,0.3209,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.6762,0.0004,0.0004,True,False,False,Improvement,Resolved
TIKA-524,8,0.9988,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9988,1e-04,True,False,False,Improvement,Open
TIKA-504,0,0.999,0.999,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,True,False,False,Improvement,Resolved
TIKA-488,3,0.9985,0.0002,0.0002,0.0002,0.9985,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,True,Improvement,Resolved
TIKA-483,9,0.9968,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9968,True,False,False,Bug,Resolved
TIKA-482,8,0.9988,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9988,1e-04,True,False,False,Improvement,Resolved
TIKA-456,8,0.9994,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9994,1e-04,True,False,False,Improvement,Resolved
TIKA-447,5,0.6883,0.0002,0.0002,0.0002,0.0002,0.0002,0.6883,0.0002,0.0002,0.31,0.0002,True,True,False,New Feature,Closed
TIKA-445,0,0.5729,0.5729,0.0003,0.0003,0.0003,0.0003,0.0003,0.2462,0.0003,0.0003,0.1788,True,False,False,New Feature,Closed
TIKA-443,1,0.9971,0.0003,0.9971,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,True,False,False,New Feature,Resolved
TIKA-440,4,0.6472,0.0006,0.3481,0.0006,0.0006,0.6472,0.0006,0.0006,0.0006,0.0006,0.0006,True,False,False,New Feature,Resolved
TIKA-416,8,0.998,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.998,0.0002,False,True,False,New Feature,Closed
TIKA-420,1,0.9997,0.0,0.9997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,New Feature,Resolved
TIKA-383,7,0.5761,0.0004,0.0004,0.0004,0.4207,0.0004,0.0004,0.0004,0.5761,0.0004,0.0004,True,False,False,Improvement,Resolved
TIKA-372,0,0.9974,0.9974,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,True,False,False,Improvement,Resolved
TIKA-369,4,0.999,1e-04,1e-04,1e-04,1e-04,0.999,1e-04,1e-04,1e-04,1e-04,1e-04,False,True,False,Improvement,Resolved
TIKA-322,4,0.9973,0.0003,0.0003,0.0003,0.0003,0.9973,0.0003,0.0003,0.0003,0.0003,0.0003,False,True,True,Improvement,Resolved
TIKA-342,2,0.9968,0.0004,0.0004,0.9968,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,True,False,False,Improvement,Resolved
TIKA-337,8,0.8104,0.0002,0.0002,0.0002,0.0002,0.1882,0.0002,0.0002,0.0002,0.8104,0.0002,True,False,True,New Feature,Resolved
TIKA-333,9,0.9978,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9978,False,True,True,Improvement,Closed
TIKA-270,8,0.9823,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.9823,0.002,False,True,False,Bug,Resolved
TIKA-261,2,0.9971,0.0003,0.0003,0.9971,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,True,True,False,New Feature,Resolved
TIKA-238,8,0.9987,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9987,1e-04,True,False,False,Improvement,Closed
TIKA-216,0,0.6258,0.6258,0.0002,0.0002,0.0002,0.0002,0.3729,0.0002,0.0002,0.0002,0.0002,False,True,False,New Feature,Closed
TIKA-99,8,0.7776,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0505,0.0003,0.7776,0.1697,True,False,False,New Feature,Closed
TIKA-203,3,0.9991,1e-04,1e-04,1e-04,0.9991,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,True,False,False,Improvement,Closed
TIKA-172,9,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,True,False,False,Improvement,Closed
TIKA-153,5,0.6307,0.0002,0.0002,0.0002,0.0002,0.0002,0.6307,0.3673,0.0002,0.0002,0.0002,True,True,False,New Feature,Closed
TIKA-143,2,0.5751,0.0002,0.0002,0.5751,0.0981,0.0002,0.0002,0.0002,0.0002,0.3253,0.0002,True,False,True,New Feature,Closed
TIKA-139,8,0.9947,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.9947,0.0006,True,False,False,New Feature,Closed
TIKA-137,0,0.9979,0.9979,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,False,Improvement,Closed
TIKA-132,8,0.999,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.999,1e-04,True,False,False,Improvement,Closed
