issue_key,bert_topic,bert_prob,existence,property,executive,issue_type,status
TIKA-2841,0,1.0,False,True,True,Task,Resolved
TIKA-2833,0,1.0,False,True,False,Task,Resolved
TIKA-2762,3,1.0,True,True,False,Improvement,Resolved
TIKA-2749,0,1.0,True,False,False,Task,Open
TIKA-2725,6,1.0,False,True,True,Task,Resolved
TIKA-2720,4,1.0,True,False,False,New Feature,Open
TIKA-2717,2,1.0,False,True,True,Bug,Resolved
TIKA-2686,2,1.0,False,True,True,Bug,Resolved
TIKA-2662,5,1.0,True,False,False,Task,Resolved
TIKA-2585,6,1.0,True,False,False,Improvement,Resolved
TIKA-2577,2,1.0,False,True,True,Bug,Resolved
TIKA-2514,4,1.0,False,True,False,Improvement,Open
TIKA-2499,2,1.0,False,True,True,Bug,Resolved
TIKA-2434,6,1.0,False,True,True,Bug,Open
TIKA-2402,0,1.0,True,False,False,Sub-task,Resolved
TIKA-2400,0,1.0,True,True,False,Sub-task,Resolved
TIKA-2398,0,1.0,True,False,True,Improvement,Open
TIKA-2369,0,1.0,True,False,False,Bug,Open
TIKA-2349,0,1.0,True,False,False,Improvement,Resolved
TIKA-2322,0,1.0,True,False,True,Improvement,Resolved
TIKA-2263,4,1.0,True,False,True,Improvement,Open
TIKA-2222,1,1.0,True,False,False,Improvement,Open
TIKA-2075,4,1.0,True,False,False,Improvement,In Progress
TIKA-2021,0,1.0,False,True,False,Improvement,Resolved
TIKA-2016,4,1.0,True,False,True,New Feature,Resolved
TIKA-1993,0,1.0,True,False,True,New Feature,Resolved
TIKA-1978,4,1.0,False,True,True,Bug,Resolved
TIKA-1954,3,1.0,True,False,False,Sub-task,Open
TIKA-1913,1,1.0,True,False,True,New Feature,Resolved
TIKA-1909,4,1.0,True,False,False,Improvement,Resolved
TIKA-1903,1,1.0,False,True,False,Improvement,Open
TIKA-1814,1,1.0,True,False,False,Improvement,Open
TIKA-1797,1,1.0,True,False,False,Sub-task,Open
TIKA-1744,5,1.0,True,False,True,Sub-task,Resolved
TIKA-1734,5,1.0,True,False,False,Sub-task,Resolved
TIKA-1722,5,1.0,False,True,False,Improvement,Resolved
TIKA-1691,1,1.0,True,False,True,New Feature,Open
TIKA-1683,3,1.0,False,True,False,New Feature,Resolved
TIKA-1680,3,1.0,True,False,False,Improvement,Open
TIKA-1668,4,1.0,True,False,False,Sub-task,Open
TIKA-1629,6,1.0,True,True,False,Bug,Resolved
TIKA-1614,1,1.0,True,False,False,New Feature,Resolved
TIKA-1610,1,1.0,False,True,True,New Feature,Resolved
TIKA-1609,1,1.0,True,False,True,New Feature,Open
TIKA-1607,1,1.0,True,False,False,Sub-task,Open
TIKA-1582,0,1.0,True,True,True,Improvement,Resolved
TIKA-1580,1,1.0,True,False,True,New Feature,Resolved
TIKA-1541,3,1.0,True,False,True,Improvement,Resolved
TIKA-1540,0,1.0,True,False,True,New Feature,Open
TIKA-1517,0,1.0,True,True,False,Improvement,Resolved
TIKA-1466,0,1.0,True,False,False,Improvement,Open
TIKA-1425,4,1.0,True,False,False,Improvement,Open
TIKA-1424,2,1.0,False,True,False,Improvement,Resolved
TIKA-1420,3,1.0,True,False,False,Improvement,Resolved
TIKA-1336,5,1.0,True,False,False,Improvement,Resolved
TIKA-1406,0,1.0,False,True,False,Bug,Open
TIKA-1385,4,1.0,True,True,False,Bug,Resolved
TIKA-1368,4,1.0,True,True,False,Improvement,Open
TIKA-1330,6,1.0,True,True,False,Sub-task,Resolved
TIKA-1296,0,1.0,True,False,False,Improvement,Open
TIKA-1294,0,1.0,True,False,False,Improvement,Closed
TIKA-1265,3,1.0,True,False,False,Improvement,Resolved
TIKA-1247,4,1.0,True,False,False,Improvement,Closed
TIKA-1220,4,1.0,True,False,True,New Feature,Open
TIKA-1208,0,1.0,True,True,True,Sub-task,Open
TIKA-1207,0,1.0,True,False,False,Task,Open
TIKA-1149,4,1.0,False,True,False,Improvement,Open
TIKA-1144,1,1.0,True,False,False,Improvement,Open
TIKA-1140,1,1.0,True,False,False,Improvement,Open
TIKA-1075,5,1.0,True,False,False,New Feature,Resolved
TIKA-43,4,1.0,True,False,False,Improvement,Closed
TIKA-944,5,1.0,True,False,True,New Feature,Open
TIKA-942,3,1.0,True,False,False,New Feature,Closed
TIKA-781,1,1.0,False,True,False,Bug,Resolved
TIKA-932,2,1.0,False,True,True,Improvement,Resolved
TIKA-930,1,1.0,True,False,False,Improvement,Resolved
TIKA-929,1,1.0,True,False,False,Improvement,Resolved
TIKA-928,1,1.0,True,False,False,Improvement,Open
TIKA-927,1,1.0,True,False,False,Improvement,Resolved
TIKA-917,3,1.0,True,False,False,New Feature,Open
TIKA-904,0,1.0,True,False,False,Improvement,Resolved
TIKA-884,4,1.0,True,True,False,Improvement,Resolved
TIKA-850,3,1.0,True,False,False,Improvement,Resolved
TIKA-815,4,1.0,False,True,False,Test,Resolved
TIKA-814,0,1.0,False,True,False,Improvement,Closed
TIKA-785,3,1.0,True,False,False,New Feature,Resolved
TIKA-775,3,1.0,True,False,False,Improvement,Resolved
TIKA-774,1,1.0,True,False,False,New Feature,Open
TIKA-773,4,1.0,True,False,True,New Feature,Open
TIKA-759,1,1.0,False,True,True,Improvement,Open
TIKA-746,0,1.0,True,False,False,Improvement,Resolved
TIKA-710,4,1.0,True,False,False,Improvement,Closed
TIKA-669,4,1.0,True,True,False,New Feature,Closed
TIKA-662,0,1.0,False,True,False,Improvement,Closed
TIKA-625,3,1.0,False,True,True,Improvement,Closed
TIKA-605,1,1.0,True,False,True,New Feature,Resolved
TIKA-591,6,1.0,False,True,False,Improvement,Open
TIKA-590,1,1.0,True,False,False,Wish,Closed
TIKA-569,4,1.0,False,True,False,Improvement,Closed
TIKA-550,0,1.0,True,False,False,Improvement,Resolved
TIKA-524,1,1.0,True,False,False,Improvement,Open
TIKA-504,1,1.0,True,False,False,Improvement,Resolved
TIKA-488,1,1.0,True,False,True,Improvement,Resolved
TIKA-483,0,1.0,True,False,False,Bug,Resolved
TIKA-482,0,1.0,True,False,False,Improvement,Resolved
TIKA-456,4,1.0,True,False,False,Improvement,Resolved
TIKA-447,0,1.0,True,True,False,New Feature,Closed
TIKA-445,1,1.0,True,False,False,New Feature,Closed
TIKA-443,1,1.0,True,False,False,New Feature,Resolved
TIKA-440,3,1.0,True,False,False,New Feature,Resolved
TIKA-416,6,1.0,False,True,False,New Feature,Closed
TIKA-420,1,1.0,True,True,True,New Feature,Resolved
TIKA-383,3,1.0,True,False,False,Improvement,Resolved
TIKA-372,3,1.0,True,False,False,Improvement,Resolved
TIKA-369,0,1.0,False,True,False,Improvement,Resolved
TIKA-322,0,1.0,False,True,True,Improvement,Resolved
TIKA-342,5,1.0,True,False,False,Improvement,Resolved
TIKA-337,5,1.0,True,False,True,New Feature,Resolved
TIKA-333,0,1.0,False,True,True,Improvement,Closed
TIKA-270,5,1.0,False,True,False,Bug,Resolved
TIKA-261,0,1.0,True,True,False,New Feature,Resolved
TIKA-238,4,1.0,True,False,False,Improvement,Closed
TIKA-216,0,1.0,False,True,False,New Feature,Closed
TIKA-99,3,1.0,True,False,False,New Feature,Closed
TIKA-203,3,1.0,True,False,False,Improvement,Closed
TIKA-172,1,1.0,True,False,False,Improvement,Closed
TIKA-153,3,1.0,True,True,False,New Feature,Closed
TIKA-143,3,1.0,True,False,True,New Feature,Closed
TIKA-139,3,1.0,True,False,False,New Feature,Closed
TIKA-137,6,1.0,True,False,False,Improvement,Closed
TIKA-132,1,1.0,True,False,False,Improvement,Closed
TIKA-126,3,1.0,True,False,False,New Feature,Closed
TIKA-116,3,1.0,True,False,False,Improvement,Closed
TIKA-105,1,1.0,True,False,True,Improvement,Closed
TIKA-95,3,1.0,True,True,False,New Feature,Resolved
TIKA-90,3,1.0,True,True,False,New Feature,Open
TIKA-69,3,1.0,True,False,False,Improvement,Closed
TIKA-67,3,1.0,True,False,False,New Feature,Closed
TIKA-52,6,1.0,True,False,False,Improvement,Closed
TIKA-46,3,1.0,True,False,False,Improvement,Closed
TIKA-33,4,1.0,True,False,False,Improvement,Closed
TIKA-31,4,1.0,True,False,False,Improvement,Closed
TIKA-24,5,1.0,True,False,False,Improvement,Closed
TIKA-23,4,1.0,True,True,False,Improvement,Closed
TIKA-6,0,1.0,True,False,True,New Feature,Closed
TIKA-1508,3,1.0,True,False,False,Improvement,Resolved
TIKA-2829,2,1.0,False,True,True,Bug,Closed
TIKA-2911,4,1.0,True,False,False,Task,Open
TIKA-3638,2,1.0,False,True,True,Bug,Resolved
TIKA-3523,5,1.0,True,False,True,Wish,Open
TIKA-3664,2,1.0,False,True,True,Bug,Resolved
TIKA-3669,2,1.0,False,True,True,Bug,Resolved
TIKA-3703,5,1.0,True,False,False,Task,Open
TIKA-3681,2,1.0,True,False,False,Bug,Open
TIKA-3689,5,1.0,True,False,False,Task,Resolved
TIKA-3695,1,1.0,True,False,False,New Feature,Resolved
TIKA-3835,1,1.0,True,False,False,New Feature,Open
TIKA-3836,3,1.0,True,False,False,New Feature,Resolved
TIKA-3837,2,1.0,False,True,True,Bug,Closed
TIKA-3725,5,1.0,False,True,True,New Feature,Open
TIKA-3729,2,1.0,False,True,True,Bug,Resolved
TIKA-3790,5,1.0,True,False,False,Improvement,Resolved
TIKA-3846,0,1.0,True,False,True,Improvement,Resolved
TIKA-3941,5,1.0,True,True,False,Task,Resolved
TIKA-3861,0,1.0,True,False,False,Task,Open
TIKA-3885,6,1.0,True,False,False,Improvement,Resolved
