issue_key,dominant_topic,dominant_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob,existence,property,executive,issue_type,status
TIKA-238,4,0.9991,1e-04,1e-04,1e-04,1e-04,0.9991,1e-04,1e-04,True,False,False,Improvement,Closed
TIKA-216,1,0.9991,0.0002,0.9991,0.0002,0.0002,0.0002,0.0002,0.0002,False,True,False,New Feature,Closed
TIKA-99,4,0.9515,0.0003,0.0003,0.0003,0.0003,0.9515,0.0469,0.0003,True,False,False,New Feature,Closed
TIKA-203,1,0.9994,1e-04,0.9994,1e-04,1e-04,1e-04,1e-04,1e-04,True,False,False,Improvement,Closed
TIKA-172,0,0.857,0.857,0.1428,0.0,0.0,0.0,0.0,0.0,True,False,False,Improvement,Closed
TIKA-153,4,0.6806,0.0002,0.0656,0.0002,0.0002,0.6806,0.0002,0.2528,True,True,False,New Feature,Closed
TIKA-143,4,0.9987,0.0002,0.0002,0.0002,0.0002,0.9987,0.0002,0.0002,True,False,True,New Feature,Closed
TIKA-139,4,0.9965,0.0006,0.0006,0.0006,0.0006,0.9965,0.0006,0.0006,True,False,False,New Feature,Closed
TIKA-137,1,0.9986,0.0002,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,False,Improvement,Closed
TIKA-132,6,0.3685,1e-04,1e-04,0.3021,1e-04,0.3289,1e-04,0.3685,True,False,False,Improvement,Closed
TIKA-126,4,0.9992,1e-04,1e-04,1e-04,1e-04,0.9992,1e-04,1e-04,True,False,False,New Feature,Closed
TIKA-116,3,0.5481,0.4511,0.0002,0.0002,0.5481,0.0002,0.0002,0.0002,True,False,False,Improvement,Closed
TIKA-105,4,0.6943,0.0002,0.0002,0.0002,0.0002,0.6943,0.0002,0.3046,True,False,True,Improvement,Closed
TIKA-95,0,0.999,0.999,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,True,True,False,New Feature,Resolved
TIKA-90,1,0.7869,0.2112,0.7869,0.0004,0.0004,0.0004,0.0004,0.0004,True,True,False,New Feature,Open
TIKA-69,4,0.9969,0.0005,0.0005,0.0005,0.0005,0.9969,0.0005,0.0005,True,False,False,Improvement,Closed
TIKA-67,4,0.9991,1e-04,1e-04,1e-04,1e-04,0.9991,1e-04,1e-04,True,False,False,New Feature,Closed
TIKA-52,4,0.9983,0.0003,0.0003,0.0003,0.0003,0.9983,0.0003,0.0003,True,False,False,Improvement,Closed
TIKA-46,4,0.9934,0.0011,0.0011,0.0011,0.0011,0.9934,0.0011,0.0011,True,False,False,Improvement,Closed
TIKA-33,4,0.8485,0.0004,0.1496,0.0004,0.0004,0.8485,0.0004,0.0004,True,False,False,Improvement,Closed
TIKA-31,4,0.9992,1e-04,1e-04,1e-04,1e-04,0.9992,1e-04,1e-04,True,False,False,Improvement,Closed
TIKA-24,4,0.9974,0.0004,0.0004,0.0004,0.0004,0.9974,0.0004,0.0004,True,False,False,Improvement,Closed
TIKA-23,4,0.9991,1e-04,1e-04,1e-04,1e-04,0.9991,1e-04,1e-04,True,True,False,Improvement,Closed
TIKA-6,1,0.9986,0.0002,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,True,New Feature,Closed
TIKA-1508,4,0.9992,1e-04,1e-04,1e-04,1e-04,0.9992,1e-04,1e-04,True,False,False,Improvement,Resolved
TIKA-2829,1,0.7751,0.0003,0.7751,0.0003,0.2234,0.0003,0.0003,0.0003,False,True,True,Bug,Closed
TIKA-2911,4,0.9957,0.0007,0.0007,0.0007,0.0007,0.9957,0.0007,0.0007,True,False,False,Task,Open
TIKA-3638,5,0.548,0.0006,0.0006,0.1801,0.2696,0.0006,0.548,0.0006,False,True,True,Bug,Resolved
TIKA-3523,4,0.9908,0.0,0.0,0.0,0.0,0.9908,0.009,0.0,True,False,True,Wish,Open
TIKA-3664,3,0.9995,1e-04,1e-04,1e-04,0.9995,1e-04,1e-04,1e-04,False,True,True,Bug,Resolved
TIKA-3669,5,0.5068,0.0003,0.0003,0.4134,0.0787,0.0003,0.5068,0.0003,False,True,True,Bug,Resolved
TIKA-3703,1,0.7845,0.2147,0.7845,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,False,Task,Open
TIKA-3681,1,0.9976,0.0004,0.9976,0.0004,0.0004,0.0004,0.0004,0.0004,True,False,False,Bug,Open
TIKA-3689,4,0.9985,0.0003,0.0003,0.0003,0.0003,0.9985,0.0003,0.0003,True,False,False,Task,Resolved
TIKA-3695,3,0.9985,0.0003,0.0003,0.0003,0.9985,0.0003,0.0003,0.0003,True,False,False,New Feature,Resolved
TIKA-3835,3,0.8105,1e-04,1e-04,1e-04,0.8105,0.1893,1e-04,1e-04,True,False,False,New Feature,Open
TIKA-3836,4,0.6666,0.0004,0.3312,0.0004,0.0004,0.6666,0.0004,0.0004,True,False,False,New Feature,Resolved
TIKA-3837,3,0.5407,0.0004,0.0004,0.0004,0.5407,0.0004,0.4572,0.0004,False,True,True,Bug,Closed
TIKA-3725,4,0.6762,0.0002,0.0002,0.0002,0.0002,0.6762,0.3226,0.0002,False,True,True,New Feature,Open
TIKA-3729,3,0.5799,0.0002,0.419,0.0002,0.5799,0.0002,0.0002,0.0002,False,True,True,Bug,Resolved
TIKA-3790,4,0.9973,0.0005,0.0005,0.0005,0.0005,0.9973,0.0005,0.0005,True,False,False,Improvement,Resolved
TIKA-3846,3,0.565,0.0014,0.0014,0.0014,0.565,0.4279,0.0014,0.0014,True,False,True,Improvement,Resolved
TIKA-3941,4,0.9989,0.0002,0.0002,0.0002,0.0002,0.9989,0.0002,0.0002,True,True,False,Task,Resolved
TIKA-3861,4,0.9954,0.0008,0.0008,0.0008,0.0008,0.9954,0.0008,0.0008,True,False,False,Task,Open
TIKA-3885,1,0.4992,0.0005,0.4992,0.1747,0.0005,0.3243,0.0005,0.0005,True,False,False,Improvement,Resolved
TIKA-3892,4,0.9972,0.0005,0.0005,0.0005,0.0005,0.9972,0.0005,0.0005,True,True,False,Task,Open
TIKA-3900,4,0.9991,0.0002,0.0002,0.0002,0.0002,0.9991,0.0002,0.0002,True,False,True,Improvement,Open
TIKA-3925,1,0.5321,0.0003,0.5321,0.0003,0.4661,0.0003,0.0003,0.0003,False,True,True,Bug,Resolved
